867592431542813769391764582753649218624138975918257346136425897475981623289376154,0.01499,0.00894,0.00901
473125896691438257285697431832759164549816723167342985914263578358971642726584319,0.00797,0.00895,0.00898
419627358682953471357148692946381527135762849278495136891234765763519284524876913,0.00698,0.01992,0.00698
483752196526319784719486532375864219162597348894231657637148925958623471241975863,0.00999,0.01096,0.00701
739548621486912537251367489327489165648125973915736842863251794194873256572694318,0.00895,0.00801,0.00995
893261754765934281214785396932847165187659432456123879679312548528476913341598627,0.00701,0.01094,0.00897
519873642763942185842165739258736491674591823391284576937658214185429367426317958,0.00801,0.00794,0.00798
537819624192456387486732159615387942849625713273941568724563891368194275951278436,0.00898,0.00701,0.00945
679235148352814976814796325296348517538179264147652893783961452421587639965423781,0.01096,0.00901,0.0379
346275198781469235295381764172638549938524671654917823823196457467853912519742386,0.01094,0.01197,0.00997
000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00794,0.00698,0.00601
000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00599,0.00595,0.00601
000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00695,0.00602,0.00595
000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.01693,0.01097,0.00698
000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.00598,0.00798,0.00499
